Line	Date	Time	SpectrumFile	LibraryFile	Water vapor H2O	Unit	 Compensation	Carbon dioxide CO2	Unit	 Compensation	Carbon monoxide CO	Unit	 Compensation	Nitrous oxide N2O	Unit	 Compensation	Ammonia NH3	Unit	 Compensation	Methane CH4	Unit	 Compensation	Pressure	Unit	 Compensation	Cell temperature	Unit	 Compensation	Electronics temperature	Unit	 Compensation	 Status
0	2023-04-28	09:49:56	C:\SN45516\Samples\20230428\SAMPLE_07490.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.09	vol-%	wet	417.18	ppm	wet	 0.460	ppm	wet	0.3360	ppm	wet	 0.153	ppm	wet	 2.266	ppm	wet	981.60	mbar	N/A	 30.06	C	N/A	 40.36	C	N/A	OK
0	2023-04-28	09:50:17	C:\SN45516\Samples\20230428\SAMPLE_07491.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  0.95	vol-%	wet	414.56	ppm	wet	 0.456	ppm	wet	0.3427	ppm	wet	 0.145	ppm	wet	 2.303	ppm	wet	981.60	mbar	N/A	 30.12	C	N/A	 40.49	C	N/A	OK
0	2023-04-28	09:50:39	C:\SN45516\Samples\20230428\SAMPLE_07492.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  0.93	vol-%	wet	427.76	ppm	wet	 0.479	ppm	wet	0.3487	ppm	wet	 0.129	ppm	wet	 2.340	ppm	wet	981.60	mbar	N/A	 30.16	C	N/A	 40.68	C	N/A	OK
0	2023-04-28	09:51:00	C:\SN45516\Samples\20230428\SAMPLE_07493.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  0.97	vol-%	wet	432.07	ppm	wet	 0.510	ppm	wet	0.3502	ppm	wet	 0.146	ppm	wet	 2.327	ppm	wet	981.60	mbar	N/A	 30.20	C	N/A	 40.81	C	N/A	OK
0	2023-04-28	09:51:21	C:\SN45516\Samples\20230428\SAMPLE_07494.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.00	vol-%	wet	434.49	ppm	wet	 0.520	ppm	wet	0.3466	ppm	wet	 0.150	ppm	wet	 2.335	ppm	wet	981.60	mbar	N/A	 30.25	C	N/A	 40.94	C	N/A	OK
0	2023-04-28	09:51:42	C:\SN45516\Samples\20230428\SAMPLE_07495.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.03	vol-%	wet	435.85	ppm	wet	 0.478	ppm	wet	0.3501	ppm	wet	 0.167	ppm	wet	 2.316	ppm	wet	981.70	mbar	N/A	 30.28	C	N/A	 41.09	C	N/A	OK
0	2023-04-28	09:52:03	C:\SN45516\Samples\20230428\SAMPLE_07496.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.05	vol-%	wet	437.14	ppm	wet	 0.453	ppm	wet	0.3469	ppm	wet	 0.126	ppm	wet	 2.318	ppm	wet	981.70	mbar	N/A	 30.37	C	N/A	 41.23	C	N/A	OK
0	2023-04-28	09:52:25	C:\SN45516\Samples\20230428\SAMPLE_07497.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.07	vol-%	wet	438.12	ppm	wet	 0.435	ppm	wet	0.3540	ppm	wet	 0.120	ppm	wet	 2.343	ppm	wet	981.70	mbar	N/A	 30.46	C	N/A	 41.37	C	N/A	OK
0	2023-04-28	09:52:46	C:\SN45516\Samples\20230428\SAMPLE_07498.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.08	vol-%	wet	440.56	ppm	wet	 0.474	ppm	wet	0.3596	ppm	wet	 0.142	ppm	wet	 2.314	ppm	wet	981.70	mbar	N/A	 30.49	C	N/A	 41.54	C	N/A	OK
0	2023-04-28	09:53:07	C:\SN45516\Samples\20230428\SAMPLE_07499.SPEX	GAS-APP-006_SN45516_c14_133_Rev1.CLIB	  1.09	vol-%	wet	440.31	ppm	wet	 0.494	ppm	wet	0.3564	ppm	wet	 0.119	ppm	wet	 2.321	ppm	wet	981.70	mbar	N/A	 30.54	C	N/A	 41.64	C	N/A	OK
